Date,Close
2/01/2018,151.91
3/01/2018,153.82
4/01/2018,155.81
5/01/2018,159.04
8/01/2018,159.27
9/01/2018,159.5
10/01/2018,159.86
11/01/2018,160.92
12/01/2018,162.33
16/01/2018,162.29
17/01/2018,164.32
18/01/2018,165.48
19/01/2018,166.83
22/01/2018,168.28
23/01/2018,167.19
24/01/2018,167.01
25/01/2018,168.59
26/01/2018,170.34
29/01/2018,168.55
30/01/2018,167.19
31/01/2018,169
1/02/2018,172.93
2/02/2018,170.55
5/02/2018,164.59
6/02/2018,169.28
7/02/2018,168.73
8/02/2018,160.62
9/02/2018,165.2
12/02/2018,168.19
13/02/2018,170.12
14/02/2018,172.52
15/02/2018,174.69
16/02/2018,175.65
20/02/2018,175.35
21/02/2018,172.32
22/02/2018,172.95
23/02/2018,175.76
26/02/2018,177.87
27/02/2018,175.93
28/02/2018,175.76
1/03/2018,173.49
2/03/2018,175.02
5/03/2018,178.53
6/03/2018,177.53
7/03/2018,179.21
8/03/2018,179.25
9/03/2018,183.24
12/03/2018,182.54
13/03/2018,181.01
14/03/2018,180.12
15/03/2018,180.95
16/03/2018,182.55
19/03/2018,180.58
20/03/2018,182.51
21/03/2018,180.75
22/03/2018,175.52
23/03/2018,171.83
26/03/2018,177.17
27/03/2018,172.52
28/03/2018,170.35
29/03/2018,175.16
2/04/2018,171.6
3/04/2018,172.47
4/04/2018,173.69
5/04/2018,175.8
6/04/2018,169.7
9/04/2018,170.34
10/04/2018,174.72
11/04/2018,172.36
12/04/2018,174.8
13/04/2018,174.27
16/04/2018,173.87
17/04/2018,178.34
18/04/2018,179.46
19/04/2018,179.01
20/04/2018,177.08
23/04/2018,175.43
24/04/2018,173.24
25/04/2018,172.47
26/04/2018,178.16
27/04/2018,175.94
30/04/2018,178.27
1/05/2018,180.25
2/05/2018,185.82
3/05/2018,186.48
4/05/2018,188.17
7/05/2018,189.1
8/05/2018,190.53
9/05/2018,190.63
10/05/2018,193.05
11/05/2018,193.35
14/05/2018,192.12
15/05/2018,192
16/05/2018,192.38
17/05/2018,191.2
18/05/2018,191.2
21/05/2018,191.2
22/05/2018,191.62
23/05/2018,192.99
24/05/2018,191.91
25/05/2018,191.17
29/05/2018,189.53
30/05/2018,191.76
31/05/2018,190.12
1/06/2018,195.37
4/06/2018,197.73
5/06/2018,199.36
6/06/2018,203.21
7/06/2018,199.54
8/06/2018,200.04
11/06/2018,198.49
12/06/2018,200.13
13/06/2018,199.41
14/06/2018,199.31
15/06/2018,199.53
18/06/2018,201.13
19/06/2018,199.69
20/06/2018,201.54
21/06/2018,200.78
22/06/2018,201.48
25/06/2018,194.98
26/06/2018,196.46
27/06/2018,193.18
28/06/2018,197.1
29/06/2018,196.52
2/07/2018,197.67
3/07/2018,196.29
5/07/2018,198.87
6/07/2018,199.52
9/07/2018,200.93
10/07/2018,201.52
11/07/2018,203.84
12/07/2018,207.78
13/07/2018,205.91
16/07/2018,204.08
17/07/2018,206.37
18/07/2018,208.36
19/07/2018,206.06
20/07/2018,206.71
23/07/2018,207.84
24/07/2018,209.58
25/07/2018,214.16
26/07/2018,207.37
27/07/2018,202.94
30/07/2018,197.87
31/07/2018,198
1/08/2018,201.2
2/08/2018,202.01
3/08/2018,201.2
6/08/2018,201.54
7/08/2018,202.62
8/08/2018,202.86
9/08/2018,203.6
10/08/2018,202.65
13/08/2018,202.31
14/08/2018,203.88
15/08/2018,200.24
16/08/2018,203.6
17/08/2018,203.21
20/08/2018,204.75
21/08/2018,203.09
22/08/2018,204.31
23/08/2018,205.22
24/08/2018,209.4
27/08/2018,211.53
28/08/2018,212.63
29/08/2018,214.57
30/08/2018,213.8
31/08/2018,215.56
4/09/2018,216.82
5/09/2018,211.16
6/09/2018,212.77
7/09/2018,211.09
10/09/2018,211.67
11/09/2018,213.45
12/09/2018,214.03
13/09/2018,217.22
14/09/2018,217.96
17/09/2018,216.47
18/09/2018,220.05
19/09/2018,218.19
20/09/2018,221.39
21/09/2018,221.9
24/09/2018,221.35
25/09/2018,222.12
26/09/2018,222.26
27/09/2018,222.31
28/09/2018,222.61
1/10/2018,223.77
2/10/2018,222.37
3/10/2018,223.13
4/10/2018,216.15
5/10/2018,213.26
8/10/2018,208.26
9/10/2018,209.76
10/10/2018,196.69
11/10/2018,194.51
12/10/2018,204.22
15/10/2018,200.32
16/10/2018,207.78
17/10/2018,207.38
18/10/2018,203.62
19/10/2018,203.06
22/10/2018,204.5
23/10/2018,202.43
24/10/2018,195.69
25/10/2018,204.2
26/10/2018,197.49
29/10/2018,191.04
30/10/2018,187.73
31/10/2018,197.67
1/11/2018,199.71
2/11/2018,197.72
5/11/2018,197.98
6/11/2018,199.15
7/11/2018,208.24
8/11/2018,208.86
9/11/2018,205.62
12/11/2018,199.14
13/11/2018,198.17
14/11/2018,197.58
15/11/2018,200.71
16/11/2018,199.04
19/11/2018,189.28
20/11/2018,187.06
21/11/2018,187.66
23/11/2018,182.6
26/11/2018,191.85
27/11/2018,192.98
28/11/2018,202.28
29/11/2018,196.66
30/11/2018,201.07
3/12/2018,209.86
4/12/2018,200.49
6/12/2018,202.99
7/12/2018,196.5
10/12/2018,198.06
11/12/2018,197.74
12/12/2018,200.29
13/12/2018,198.96
14/12/2018,195.33
17/12/2018,190.45
18/12/2018,191.61
19/12/2018,187.12
20/12/2018,182.71
21/12/2018,175.19
24/12/2018,174.65
26/12/2018,186.43
27/12/2018,188.69
28/12/2018,186.16
